,North America:,,,,,South America:,,,,,Europe:,,,,,Former USSR:,,,,,Africa/Middle East:,,,,,Asia:,,,,,Oceania:,,,,,Global:,,,,
Year,Air,Air (Hg0),Air (Hg2+),Land/Water,Total Hg,Air,Air (Hg0),Air (Hg2+),Land/Water,Total Hg,Air,Air (Hg0),Air (Hg2+),Land/Water,Total Hg,Air,Air (Hg0),Air (Hg2+),Land/Water,Total Hg,Air,Air (Hg0),Air (Hg2+),Land/Water,Total Hg,Air,Air (Hg0),Air (Hg2+),Land/Water,Total Hg,Air,Air (Hg0),Air (Hg2+),Land/Water,Total Hg,Air,Air (Hg0),Air (Hg2+),Land/Water,Total Hg
1510,0.01043276,0.01043276,0,0.01564914,0.0260819,0,0,0,0,0,26.90490249,21.64537664,5.259525843,78.31440977,105.2193123,0,0,0,0,0,1.4768208,1.4768208,0,2.2152312,3.692052,5.1244561,4.1129684,1.0114877,7.67855215,12.80300825,0,0,0,0,0,33.51661215,27.2455986,6.271013543,88.22384226,121.7404544
1520,0.03129828,0.03129828,0,0.04694742,0.0782457,0,0,0,0,0,30.88881123,24.83766683,6.051144395,87.93561474,118.824426,0,0,0,0,0,1.4592396,1.4592396,0,2.1888594,3.648099,5.486466745,4.402576916,1.083889829,8.219856117,13.70632286,0,0,0,0,0,37.86581585,30.73078163,7.135034224,98.39127767,136.2570935
1530,0.42431885,0.36814517,0.05617368,10.10798488,10.53230373,1.304525733,1.075509794,0.229015939,31.73822745,33.04275318,35.0487724,28.17078828,6.877984112,98.17288391,133.2216563,0,0,0,0,0,1.4416584,1.4416584,0,2.1624876,3.604146,5.848477389,4.692185432,1.156291958,8.761160084,14.60963747,0,0,0,0,0,44.06775277,35.74828708,8.319465688,150.9427439,195.0104967
1540,0.707050243,0.594702883,0.11234736,20.00358856,20.71063881,5.067489643,4.266586435,0.800903209,112.5904874,117.657977,39.4017468,31.65830597,7.743440829,109.0855391,148.4872859,0,0,0,0,0,1.4240772,1.4240772,0,2.1361158,3.560193,6.210488034,4.981793947,1.228694087,9.302464051,15.51295209,0,0,0,0,0,52.81085192,42.92546643,9.885385485,253.1181949,305.9290468
1550,0.989781636,0.821260596,0.16852104,29.89919225,30.88897389,7.815219524,6.517919019,1.297300505,181.986476,189.8016955,43.93256897,35.28133009,8.651238885,120.6879708,164.6205398,0,0,0,0,0,1.406496,1.406496,0,2.109744,3.51624,6.572498679,5.271402463,1.301096216,9.843768018,16.4162667,0,0,0,0,0,60.71656481,49.29840816,11.41815665,344.5271511,405.2437159
1560,1.272513029,1.047818309,0.22469472,39.79479594,41.06730897,41.9631187,33.88938704,8.073731661,354.7268697,396.6899884,44.59612127,35.81006715,8.786054121,122.4115095,167.0076307,0,0,0,0,0,1.3889148,1.3889148,0,2.0833722,3.472287,6.934509324,5.561010979,1.373498345,10.38507199,17.31958131,0,0,0,0,0,96.15517713,77.69719828,18.45797885,529.4016193,625.5567964
1570,1.555244421,1.274376021,0.2808684,49.69039963,51.24564405,46.08391983,37.23917662,8.844743206,417.4551807,463.5391005,45.26477109,36.34284737,8.921923722,124.1525,169.4172711,0,0,0,0,0,1.3713336,1.3713336,0,2.0570004,3.428334,7.296519968,5.850619495,1.445900474,10.92637595,18.22289592,0,0,0,0,0,101.5717889,82.0783531,19.4934358,604.2814567,705.8532456
1580,1.837975814,1.500933734,0.33704208,59.58600332,61.42397914,50.31228361,40.67501633,9.637267282,480.5596118,530.8718954,45.92493507,36.86605396,9.058881115,125.8906477,171.8155828,0,0,0,0,0,1.3537524,1.3537524,0,2.0306286,3.384381,7.658530613,6.140228011,1.518302603,11.46767992,19.12621053,0,0,0,0,0,107.0874775,86.53598443,20.55149308,679.5345713,786.6220488
1590,2.120707207,1.727491447,0.39321576,69.48160701,71.60231422,54.54818054,44.09562308,10.45255746,543.9026264,598.4508069,44.88324583,36.02771498,8.855530852,125.0859648,169.9692107,0,0,0,0,0,1.3361712,1.3361712,0,2.0042568,3.340428,8.020541258,6.429836526,1.590704732,12.00898389,20.02952514,0,0,0,0,0,110.908846,89.61683723,21.2920088,752.4834389,863.392285
1600,2.4034386,1.95404916,0.44938944,79.3772107,81.7806493,58.8513924,47.55945204,11.29194036,607.5871333,666.4385257,41.57078468,33.3726738,8.19811088,120.8851137,162.4558984,0,0,0,0,0,1.31859,1.31859,0,1.977885,3.296475,9.26828138,7.428028624,1.840252756,13.87888207,23.14716345,0,0,0,0,0,113.4124871,91.63279363,21.77969344,823.7062249,937.1187119
1610,3.0753721,2.492639236,0.582732864,102.8682938,105.9436659,58.44523017,47.24834091,11.19688926,579.7978816,638.2431118,44.32542433,35.57119946,8.754224877,137.9178441,182.2432685,0,0,0,0,0,1.249064345,1.249064345,0,1.873596518,3.122660864,10.5160215,8.426220722,2.08980078,15.74878025,26.26480175,0,0,0,0,0,117.6111124,94.98746467,22.62364778,838.2063964,955.8175088
1620,3.08058848,2.497855616,0.582732864,102.8761184,105.9567069,58.04831929,46.94463087,11.10368842,552.0405347,610.088854,48.50239197,38.90743451,9.594957456,159.9270137,208.4294056,0,0,0,0,0,1.179538691,1.179538691,0,1.769308036,2.948846727,11.76376162,9.424412819,2.339348805,17.61867844,29.38244006,0,0,0,0,0,122.5746001,98.95387251,23.62072755,834.2316532,956.8062533
1630,3.33628422,2.703455484,0.632828736,111.7063827,115.0426669,57.66080877,46.6484411,11.01236766,524.315576,581.9763848,58.31253429,46.75000368,11.56253061,193.8548526,252.1673869,0,0,0,0,0,1.110013036,1.110013036,0,1.665019555,2.775032591,13.01150175,10.42260492,2.588896829,19.48857662,32.50007836,0,0,0,0,0,133.4311421,107.6345182,25.79662384,851.0304074,984.4615495
1640,3.3415006,2.708671864,0.632828736,111.7142072,115.0557078,57.28285054,46.35989318,10.92295736,496.6234965,553.906347,70.24056086,56.28660383,13.95395703,235.1921988,305.4327596,0,0,0,0,0,1.040487382,1.040487382,0,1.560731073,2.601218455,14.25924187,11.42079701,2.838444854,21.3584748,35.61771667,0,0,0,0,0,146.1646412,117.8164533,28.34818798,866.4491083,1012.61375
1650,3.600143156,2.916629185,0.683513971,120.6482649,124.248408,56.91459962,46.0791111,10.83548852,468.9647943,525.879394,75.04981736,60.12781637,14.92200099,251.6096995,326.6595168,0,0,0,0,0,0.970961727,0.970961727,0,1.456442591,2.427404318,15.50698199,12.41898911,3.087992878,23.22837298,38.73535497,0,0,0,0,0,152.0425039,122.5135075,29.52899636,865.9075743,1017.950078
1660,3.605359536,2.921845565,0.683513971,120.6560894,124.261449,55.83250864,45.22725697,10.60525167,438.807006,494.6395146,62.01287028,49.69156662,12.32130367,205.559909,267.5727793,0,0,0,0,0,0.901436073,0.901436073,0,1.352154109,2.253590182,16.75472211,13.41718121,3.337540902,25.09827117,41.85299328,0,0,0,0,0,139.1068966,112.1592864,26.94761021,791.4734297,930.5803263
1670,3.857740108,3.124793298,0.73294681,129.3695861,133.2273262,54.75074969,44.37566847,10.37508122,408.6496821,463.4004318,52.92214178,42.41162039,10.51052139,173.3143847,226.2365265,0,0,0,0,0,0.831910418,0.831910418,0,1.247865627,2.079776045,18.00246223,14.41537331,3.587088927,26.96816935,44.97063158,0,0,0,0,0,130.3650042,105.1593659,25.20563835,739.549688,869.9146922
1680,3.862956488,3.130009678,0.73294681,129.3774107,133.2403672,53.66933856,43.52435823,10.14498034,378.4928224,432.162161,45.36690152,36.35922914,9.007672376,146.4323218,191.7992233,0,0,0,0,0,0.76214502,0.76214502,0,1.14321753,1.90536255,19.25020236,15.4135654,3.836636951,28.83806753,48.08826989,0,0,0,0,0,122.9115439,99.18930747,23.72223647,684.2838399,807.1953839
1690,4.159170948,3.368024522,0.791146426,139.6348343,143.7940052,52.71053431,42.79558187,9.914952437,348.5197893,401.2303236,39.09525944,31.33250346,7.762755974,124.0293035,163.1245629,0,0,0,0,0,0.745992293,0.745992293,0,1.118988439,1.864980731,20.49794248,16.4117575,4.086184976,30.70796572,51.20590819,0,0,0,0,0,117.2088995,94.65385965,22.55503981,644.0108812,761.2197806
1700,4.180036468,3.388890042,0.791146426,139.6661326,143.846169,51.70158456,42.02031128,9.68127328,318.4989856,370.2005702,33.89765823,27.16338001,6.734278213,105.3672159,139.2648741,0,0,0,0,0,0.729839565,0.729839565,0,1.094759348,1.824598913,21.7456826,17.4099496,4.335733,32.5778639,54.3235465,0,0,0,0,0,112.2548014,90.7123705,21.54243092,597.2049574,709.4597588
1710,6.140085272,4.964232018,1.175853254,207.4720516,213.6121369,49.6858177,40.57564762,9.110170078,324.4353,374.1211177,44.83429531,35.89945555,8.934839755,140.5729544,185.4072497,0.572622,0.4580976,0.1145244,0.858933,1.431555,0.713686838,0.713686838,0,1.070530256,1.784217094,0.8215631,0.670654,0.1509091,1.183789217,2.005352317,0,0,0,0,0,102.7680702,83.28177363,19.48629659,675.5935585,778.3616287
1720,6.188191888,5.012338633,1.175853254,207.5442116,213.7324034,47.95268647,39.35709247,8.595594005,331.3608391,379.3135255,59.06947225,47.27141702,11.79805524,187.290676,246.3601483,1.240681,0.9925448,0.2481362,1.8610215,3.1017025,0.69753411,0.69753411,0,1.046301165,1.743835275,0.8269031,0.674926,0.1519771,1.183903785,2.010806885,0,0,0,0,0,115.9754688,94.00585303,21.9696158,730.2869531,846.2624219
1730,8.640163655,6.98353737,1.656626285,292.2858441,300.9260077,46.47912763,38.34619522,8.132932407,339.1948815,385.6740091,77.74548375,62.19208619,15.55339755,249.5070862,327.25257,1.90874,1.526992,0.381748,2.86311,4.77185,0.681381383,0.681381383,0,1.022072074,1.703453456,0.826881692,0.673836592,0.1530451,1.17597624,2.002857932,0,0,0,0,0,136.2817781,110.4040288,25.87774935,886.0489701,1022.330748
1740,8.688270271,7.031643986,1.656626285,292.358004,301.0462743,45.24395988,37.52601085,7.717949029,347.8632927,393.1072526,102.4002047,81.89040012,20.50980463,332.5895233,434.9897281,2.576799,2.0614392,0.5153598,3.8651985,6.4419975,0.665228655,0.665228655,0,0.997842983,1.663071638,0.842944508,0.688831408,0.1541131,1.192175031,2.035119539,0,0,0,0,0,160.4174071,129.8635542,30.55385284,978.8660366,1139.283444
1750,11.25822268,9.097194835,2.161027843,381.2513959,392.5096186,44.22773036,36.88097706,7.346753296,357.2979878,401.5257181,135.1391422,108.0559445,27.08319768,443.8166759,578.9558181,2.896849801,2.318519841,0.57832996,4.333896702,7.230746504,0.649075928,0.649075928,0,0.973613891,1.622689819,0.859007324,0.703826224,0.1551811,1.208373822,2.067381146,0,0,0,0,0,195.0300283,157.7055384,37.32448988,1188.881944,1383.911972
1760,11.30643729,9.145355451,2.161081843,381.3235789,392.6300162,48.62163198,40.56404819,8.057583791,385.6681418,434.2897738,152.1767501,121.6289853,30.54776482,499.7379903,651.9147404,3.220740603,2.578672482,0.642068121,4.802665904,8.023406507,0.6329232,0.6329232,0,0.9493848,1.582308,0.87507014,0.71882104,0.1562491,1.224572614,2.099642754,0,0,0,0,0,216.8335533,175.2688056,41.56474767,1273.706334,1490.539888
1770,13.70418685,11.07307922,2.631107632,464.0672817,477.7714685,53.32848413,44.49747974,8.831004393,415.1336227,468.4621068,171.0977195,136.729769,34.3679505,562.4862405,733.5839601,3.548578721,2.841982977,0.706595744,5.271519794,8.820098515,0.6329232,0.6329232,0,0.9493848,1.582308,0.891132956,0.733815856,0.1573171,1.240771405,2.131904361,0,0,0,0,0,243.2030254,196.50905,46.69397537,1449.148821,1692.351846
1780,13.76340447,11.12984784,2.633556632,464.1397174,477.9031219,58.38153095,48.70786702,9.673663927,445.8107849,504.1923159,192.2609798,153.6121382,38.64884155,632.9457075,825.2066873,3.86871628,3.098093024,0.770623256,5.732520036,9.601236316,0.6329232,0.6329232,0,0.9493848,1.582308,0.907195772,0.748810672,0.1583851,1.256970196,2.164165968,0,0,0,0,0,269.8147504,217.92968,51.88507047,1550.835085,1820.649835
1790,20.86117504,16.81710242,4.044072624,712.0840398,732.9452149,63.81754801,53.2246305,10.59291751,477.828343,541.645891,214.0616546,170.9903821,43.07127253,709.2491822,923.3108368,4.197677607,3.362302086,0.835375521,6.201398024,10.39907563,0.6329232,0.6329232,0,0.9493848,1.582308,0.923258588,0.763805488,0.1594531,1.273168987,2.196427575,0,0,0,0,0,304.4942371,245.7911458,58.70309129,1907.585517,2212.079754
1800,20.92698066,16.87716504,4.049815624,712.1578853,733.084866,56.7234112,47.71727088,9.00614032,465.9903625,522.7137737,218.8883237,174.720289,44.16803474,725.2724621,944.1607858,4.531724942,3.630547553,0.901177388,6.670398905,11.20212385,0.6329232,0.6329232,0,0.9493848,1.582308,0.939321404,0.778800304,0.1605211,1.289367779,2.228689183,0,0,0,0,0,302.6426851,244.3569959,58.28568917,1912.329861,2214.972547
1810,21.41480036,17.35718789,4.057612477,703.0382772,724.4530776,27.23225449,23.25270716,3.979547329,355.2935735,382.525828,207.7067651,165.6436784,42.06308661,676.1052201,883.8119851,6.711239784,5.375199427,1.336040357,9.840490668,16.55173045,0.63819756,0.63819756,0,0.95729634,1.5954939,1.429142752,1.172801945,0.256340806,1.534927008,2.964069759,0,0,0,0,0,265.1324,213.4397724,51.69262758,1746.769785,2011.902185
1820,12.89898394,10.5008111,2.398172842,398.1653586,411.0643426,17.27423222,14.65913492,2.615097299,314.465641,331.7398732,199.0662612,158.6368431,40.42941809,632.8543062,831.9205674,7.955093392,6.376425114,1.578668278,11.64868786,19.60378125,0.47864817,0.47864817,0,0.717972255,1.196620425,2.334528441,1.921236832,0.413291608,2.458997925,4.793526366,0,0,0,0,0,240.0077474,192.5730993,47.43464811,1360.310964,1600.318711
1830,11.50114299,9.32734509,2.173797902,339.3569297,350.8580727,10.48191864,9.172135376,1.309783264,292.6983359,303.1802546,196.8604558,156.3827966,40.47765915,595.834621,792.6950768,9.781435,7.9538488,1.8275862,14.28430178,24.06573678,0.31909878,0.31909878,0,0.47864817,0.79774695,6.292085694,5.618062027,0.674023667,3.383861803,9.675947497,0,0,0,0,0,235.2361369,188.7732867,46.46285019,1246.036698,1481.272835
1840,14.64128721,11.76551729,2.875769922,424.0027379,438.6440251,11.95190471,9.954824002,1.99708071,276.0777986,288.0297033,226.0361993,179.3713001,46.66489923,654.2809489,880.3171482,15.6942165,13.828784,1.8654325,23.04521307,38.73942957,1.20954939,1.20954939,0,0.48,1.68954939,11.98431277,10.87964695,1.104665818,4.30793272,16.29224549,0,0,0,0,0,281.5174699,227.0096217,54.50784818,1382.194631,1663.712101
1850,87.79622728,69.99057913,17.80564815,304.1061679,391.9023952,11.18387065,8.941267874,2.242602774,301.4525365,312.6364071,260.8145414,205.5998683,55.21467305,714.3578056,975.172347,21.69115178,17.31340304,4.377748739,32.03329185,53.72444363,0.087574517,0.036556206,0.051018311,0.15824745,0.245821967,1.303984308,0.564312248,0.73967206,2.433530283,3.737514591,5.215419041,4.171781825,1.043637215,7.726206526,12.94162557,388.092769,306.6177687,81.4750003,1362.267786,1750.360555
1860,121.2351604,96.32801489,24.90714548,456.6431487,577.878309,11.83761572,9.455567206,2.382048517,302.2462957,314.0839115,316.5357513,248.2536556,68.28209572,795.0385951,1111.574346,22.1343399,17.59104763,4.543292274,32.88729394,55.02163385,0.216724135,0.095589357,0.121134777,0.412198058,0.628922193,2.709963818,1.140651178,1.56931264,5.220220302,7.93018412,39.79123128,31.82992981,7.961301474,59.37393367,99.16516495,514.4607866,404.6944557,109.7663309,1651.821685,2166.282472
1870,495.4666941,394.8924594,100.5742347,2336.423177,2831.889871,12.24850727,9.748179061,2.500328212,311.2773304,323.5258377,411.5683679,320.7553932,90.81297464,991.64095,1403.209318,27.06819422,21.32362793,5.744566295,40.22108607,67.28928029,0.694692164,0.310305972,0.384386192,1.307859411,2.002551575,4.961189691,2.065732342,2.895457349,9.863291235,14.82448093,33.57029959,26.84914221,6.721157381,49.95267022,83.52296981,985.5779449,775.9448402,209.6331047,3740.686364,4726.264309
1880,975.999902,778.0363362,197.9635658,3139.498688,4115.49859,30.86445445,24.59439337,6.270061079,659.1658721,690.0303265,631.1050316,493.0535846,138.051447,1593.831814,2224.936845,30.49717114,23.77865018,6.718520959,44.92344574,75.42061687,2.675661222,1.751244187,0.924417034,3.915074693,6.590735915,23.9381713,16.22237603,7.715795268,36.58609542,60.52426672,26.72581428,21.35882251,5.366991771,39.63128045,66.35709473,1721.806206,1358.795407,363.010799,5517.55227,7239.358476
1890,1374.197152,1094.117992,280.0791605,2414.805347,3789.002499,31.65672608,25.13254536,6.524180724,709.3753956,741.0321217,749.5754509,583.6071773,165.9682736,1996.963363,2746.538814,86.24053949,67.97671439,18.2638251,234.7068037,320.9473432,16.69449747,13.56048548,3.134011992,24.84907778,41.54357525,42.02142696,29.5964251,12.42500186,63.22249881,105.2439258,159.6250348,127.6625203,31.96251453,236.2872102,395.912245,2460.010828,1941.65386,518.3569683,5680.209696,8140.220524
1900,1052.762526,833.6619646,219.1005611,2008.584579,3061.347105,49.33054981,39.06047551,10.2700743,1048.820684,1098.151234,605.8988755,463.8733838,142.0254917,1476.487341,2082.386217,88.27180233,68.98917606,19.28262627,239.4869699,327.7587722,22.94790494,18.05568515,4.892219797,33.18265836,56.1305633,72.70708874,54.06787316,18.63921559,104.3210987,177.0281874,278.2650651,222.5307683,55.73429676,410.4706956,688.7357607,2170.183812,1700.239327,469.9444855,5321.354027,7491.537839
1910,632.2505428,491.1922013,141.0583415,1201.527391,1833.777934,223.0535489,179.285096,43.7684529,333.0191398,556.0726887,691.1168765,528.1135621,163.0033144,1677.217915,2368.334791,63.63414722,50.06087142,13.5732758,101.1432098,164.777357,220.6244846,187.869298,32.7551866,336.6927315,557.3172161,137.2135116,108.686606,28.52690566,208.4724849,345.6859965,210.073278,168.4122722,41.66100584,308.1574106,518.2306886,2177.96639,1713.619907,464.3464827,4166.230283,6344.196672
1920,381.1158908,269.6117948,111.504096,723.9821387,1105.09803,132.2581988,106.3259882,25.93221062,201.7068579,333.9650567,396.1017269,284.6406054,111.4611215,909.5054446,1305.607172,36.60122677,26.37065744,10.23056933,70.56638986,107.1676166,212.1481394,180.5881023,31.56003709,345.2844128,557.4325522,169.5585092,126.5526219,43.00588728,308.2299736,477.7884828,28.07374033,23.30658661,4.767153716,42.58048285,70.65422318,1355.857432,1017.396357,338.4610756,2601.8557,3957.713133
1930,399.9571849,281.1703805,118.7868044,954.9650423,1354.922227,97.57604876,77.35242686,20.2236219,162.8601926,260.4362413,430.3504197,301.6530043,128.6974155,915.5718863,1345.922306,90.70251378,68.36552023,22.33699356,216.0484502,306.750964,252.4851083,215.9155723,36.56953596,465.852036,718.3371443,219.6410368,164.4089074,55.23212943,477.3842524,697.0252891,23.73765551,19.22066952,4.516985998,31.80721124,55.54486675,1514.449968,1128.086481,386.3634867,3224.489071,4738.939039
1940,447.7746456,304.6727723,143.1018733,1415.898927,1863.673572,113.4177331,88.28172554,25.13600756,240.7913725,354.2091056,614.7672987,417.4070638,197.360235,1489.72875,2104.496049,197.0956749,143.122735,53.97293989,452.5812112,649.6768861,349.1247566,298.5154975,50.60925911,728.1656246,1077.290381,435.5258868,314.9111152,120.6147716,1102.595379,1538.121266,28.68919394,21.65626257,7.032931369,63.48641016,92.1756041,2186.39519,1588.567172,597.8280178,5493.247674,7679.642863
1950,371.3327017,175.4134183,195.9192834,1050.031858,1421.36456,58.6188086,37.75850058,20.86030802,123.9262438,182.5450524,318.3482509,176.7604836,141.5877674,723.1850019,1041.533253,194.2580197,133.7864116,60.47160808,485.8183232,680.076343,243.5635521,203.0018956,40.56165649,547.5819378,791.1454898,130.5661672,67.13321409,63.43295312,292.6649368,423.231104,12.91468581,9.068618883,3.846066929,37.36836098,50.28304679,1329.602186,802.9225427,526.6796434,3260.576663,4590.178849
1960,502.7941822,271.6936493,231.1005328,1313.11118,1815.905362,104.0672481,63.45028605,40.61696208,230.1198103,334.1870584,558.9857036,308.7763139,250.2093897,1188.845283,1747.830987,252.8513856,162.8622212,89.98916439,583.9661689,836.8175544,374.2645426,308.7081787,65.55636389,962.4202053,1336.684748,624.1444875,416.2649977,207.8794899,1777.975677,2402.120165,13.32418489,8.630519307,4.693665583,51.09395589,64.41814078,2430.431735,1540.386166,890.0455684,6107.532281,8537.964015
1970,782.1988714,477.6831232,304.5157482,1805.524799,2587.723671,62.40982182,41.21915493,21.19066688,203.3981028,265.8079246,1036.573202,630.2887629,406.284439,2125.961255,3162.534457,198.365386,133.7690544,64.59633155,551.3475948,749.7129808,413.0523865,360.9389083,52.11347819,1344.0512,1757.103586,516.4779448,360.2140202,156.2639246,1757.117514,2273.595459,15.33967223,9.503093599,5.836578633,61.29421272,76.63388495,3024.417285,2013.616118,1010.801167,7848.694678,10873.11196
1980,492.4223822,298.8946437,193.5277385,2092.19243,2584.614812,74.15359098,52.95345371,21.20013726,233.9310991,308.0846901,508.7435148,305.9069572,202.8365576,1959.567157,2468.310672,213.01866,141.8225558,71.19610413,646.5295037,859.5481637,368.0541873,308.9541375,59.10004975,1265.602475,1633.656662,314.4845512,194.147028,120.3375232,831.5347255,1146.019277,11.72484848,7.257297128,4.467551356,76.00341096,87.72825944,1982.601735,1309.936073,672.6656617,7105.360801,9087.962536
1990,324.1765309,135.4254764,188.7510545,1776.191013,2100.367544,154.5958813,120.0913517,34.50452962,536.2211703,690.8170516,309.8360893,129.2298372,180.6062521,1864.901172,2174.737262,188.5339295,114.3028888,74.23104068,798.9549298,987.4888592,371.8215903,295.7986283,76.02296198,1300.664376,1672.485966,585.1869448,335.8002824,249.3866624,1623.230508,2208.417453,26.4461886,17.44541701,9.00077159,298.5210511,324.9672397,1960.597155,1148.093882,812.5032728,8198.684221,10159.28138
2000,172.8161527,82.91788278,89.89826991,1247.329203,1420.145356,239.0055461,199.6993183,39.3062278,769.3447461,1008.350292,155.2924496,79.42825293,75.86419667,895.3481508,1050.6406,114.9168508,70.28220704,44.63464379,520.3180361,635.234887,365.2584299,303.1761495,62.08228034,1083.897313,1449.155743,886.9341096,548.725763,338.2083466,2217.158016,3104.092125,28.49359838,20.31099452,8.182603855,397.440178,425.9337764,1962.717137,1304.540568,658.176569,7130.835643,9093.55278
2010,109.3311542,35.87702635,73.45412785,1033.652008,1142.983162,263.5992115,232.8521038,30.74710772,843.1434193,1106.742631,85.70491913,21.21743153,64.48748761,597.5735329,683.2784521,86.53774271,43.96165189,42.57609082,427.0786897,513.6164324,383.1881068,294.1580909,89.03001583,887.3691054,1270.557212,1255.450116,557.5891826,697.8609338,3170.647792,4426.097908,25.63790975,15.93016899,9.707740752,371.9833225,397.6212322,2209.44916,1201.585656,1007.863504,7331.447869,9540.89703